name,internal_var,namelist,group,dtype,default,source_use_count,source_use_files,source_usage_summary,source_use_examples
zcenter,zcenter,&inputnl,Mesh,real,0.,19,unstructured/init_common.f90(9); unstructured/transport.f90(5); unstructured/physical_mesh.f90(3); unstructured/init_vmec.f90(2),"源码引用 19 处；主要在 `init_common.f90` 9处, `transport.f90` 5处, `physical_mesh.f90` 3处, `init_vmec.f90` 2处。","unstructured/init_common.f90:336: temp79b = sqrt((xl_79-xcenter)**2 + (zl_79-zcenter)**2 + regular**2)
unstructured/init_common.f90:346: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2 + regular**2
unstructured/init_common.f90:503: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:529: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:545: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:586: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:629: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:653: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:678: temp79b = sqrt((xl_79-xcenter)**2 + (zl_79-zcenter)**2+1e-8)
unstructured/init_vmec.f90:313: r = sqrt((x - xcenter)**2 + (z - zcenter)**2 + regular**2)"
bloat_factor,bloat_factor,&inputnl,Mesh,real,0.,7,unstructured/read_vmec.f90(5); unstructured/init_conds.f90(2),"源码引用 7 处；主要在 `read_vmec.f90` 5处, `init_conds.f90` 2处。","unstructured/init_conds.f90:641: if (igeometry.eq.1 .and. iread_vmec.eq.1 .and. bloat_factor.eq.0) then
unstructured/init_conds.f90:645: 'VMEC equilibrium needs igeometry=1, iread_vmec=1, and bloat_factor=0!'
unstructured/read_vmec.f90:68: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:118: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:662: bloat_factor = 0 ! bloat_distance overrides bloat_factor
unstructured/read_vmec.f90:664: else if(bloat_factor.ne.0) then
unstructured/read_vmec.f90:667: s_bloat = s_vmec*bloat_factor**2"
bloat_distance,bloat_distance,&inputnl,Mesh,real,0.,6,unstructured/read_vmec.f90(6),源码引用 6 处；主要在 `read_vmec.f90` 6处。,"unstructured/read_vmec.f90:68: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:118: if(bloat_factor.ne.0 .or. bloat_distance.ne.0) then
unstructured/read_vmec.f90:651: if(bloat_distance.ne.0) then
unstructured/read_vmec.f90:653: + bloat_distance*sqrt(s_vmec(i))*dz/sqrt(dz**2+dr**2)
unstructured/read_vmec.f90:655: - bloat_distance*sqrt(s_vmec(i))*dr/sqrt(dz**2+dr**2)
unstructured/read_vmec.f90:661: if(bloat_distance.ne.0) then"
nzer_factor,nzer_factor,&inputnl,Mesh,integer,-1,2,unstructured/read_vmec.f90(2),源码引用 2 处；主要在 `read_vmec.f90` 2处。,"unstructured/read_vmec.f90:128: if(nzer_factor.ge.0 .and. nzer_manual.lt.0) then
unstructured/read_vmec.f90:129: n_zer = m_pol*nzer_factor"
nzer_manual,nzer_manual,&inputnl,Mesh,integer,-1,3,unstructured/read_vmec.f90(3),源码引用 3 处；主要在 `read_vmec.f90` 3处。,"unstructured/read_vmec.f90:124: if(nzer_manual.ge.0 .and. nzer_manual.ge.n_zer) then
unstructured/read_vmec.f90:125: n_zer = nzer_manual
unstructured/read_vmec.f90:128: if(nzer_factor.ge.0 .and. nzer_manual.lt.0) then"
iread_planes,iread_planes,&inputnl,Mesh,integer,0,1,unstructured/scorec_mesh.f90(1),源码引用 1 处；主要在 `scorec_mesh.f90` 1处。,unstructured/scorec_mesh.f90:143: if(iread_planes.eq.1) then
xzero,xzero,&inputnl,Mesh,real,0.,32,unstructured/init_gmode.f90(6); unstructured/init_mri.f90(6); unstructured/read_jsolver.f90(3); unstructured/scorec_mesh.f90(3); unstructured/diagnostics.f90(2); unstructured/rmp.f90(2); unstructured/basic_mesh.f90(1); unstructured/geometry.f90(1),"源码引用 32 处；主要在 `init_gmode.f90` 6处, `init_mri.f90` 6处, `read_jsolver.f90` 3处, `scorec_mesh.f90` 3处。","unstructured/basic_mesh.f90:120: nodes(i)%R = nodes(i)%R + xzero
unstructured/diagnostics.f90:638: xrel = xzero
unstructured/diagnostics.f90:643: xrel = alx/2. + xzero
unstructured/geometry.f90:197: theta = atan2(z - zzero, x - xzero)
unstructured/init_common.f90:60: xx = x - xzero
unstructured/init_conds.f90:133: xx = x - xzero
unstructured/init_force_free.f90:26: x = x - alx*.5 - xzero
unstructured/init_gem.f90:33: x = x - alx*.5 - xzero
unstructured/init_gmode.f90:113: den1_l(1) = eps*sin(kx*(x-xzero))*sin(kz*(z-zzero))
unstructured/init_gmode.f90:114: den1_l(2) = eps*cos(kx*(x-xzero))*sin(kz*(z-zzero))*kx"
zzero,zzero,&inputnl,Mesh,real,0.,28,unstructured/init_gmode.f90(6); unstructured/init_mri.f90(6); unstructured/scorec_mesh.f90(3); unstructured/diagnostics.f90(2); unstructured/rmp.f90(2); unstructured/basic_mesh.f90(1); unstructured/geometry.f90(1); unstructured/init_common.f90(1),"源码引用 28 处；主要在 `init_gmode.f90` 6处, `init_mri.f90` 6处, `scorec_mesh.f90` 3处, `diagnostics.f90` 2处。","unstructured/basic_mesh.f90:121: nodes(i)%Z = nodes(i)%Z + zzero
unstructured/diagnostics.f90:639: zrel = alz/2. + zzero
unstructured/diagnostics.f90:644: zrel = alz/2. + zzero
unstructured/geometry.f90:197: theta = atan2(z - zzero, x - xzero)
unstructured/init_common.f90:61: zz = z - zzero
unstructured/init_conds.f90:134: zz = z - zzero
unstructured/init_force_free.f90:27: z = z - alz*.5 - zzero
unstructured/init_gem.f90:34: z = z - alz*.5 - zzero
unstructured/init_gmode.f90:113: den1_l(1) = eps*sin(kx*(x-xzero))*sin(kz*(z-zzero))
unstructured/init_gmode.f90:114: den1_l(2) = eps*cos(kx*(x-xzero))*sin(kz*(z-zzero))*kx"
tiltangled,tiltangled,&inputnl,Mesh,real,0.,1,unstructured/scorec_mesh.f90(1),源码引用 1 处；主要在 `scorec_mesh.f90` 1处。,unstructured/scorec_mesh.f90:954: angler = tiltangled*pi/180.
mesh_filename,mesh_filename,&inputnl,Mesh,character(len=256),struct-dmg.sms,3,unstructured/scorec_mesh.f90(3),源码引用 3 处；主要在 `scorec_mesh.f90` 3处。,"unstructured/scorec_mesh.f90:27: character(len=256) mesh_filename
unstructured/scorec_mesh.f90:139: write(name_buff,""(A,A)"") mesh_filename(1:len_trim(mesh_filename)),0
unstructured/scorec_mesh.f90:203: write(name_buff,""(A,A)"") mesh_filename(1:len_trim(mesh_filename)),0"
mesh_model,mesh_model,&inputnl,Mesh,character(len=256),struct.dmg,3,unstructured/scorec_mesh.f90(3),源码引用 3 处；主要在 `scorec_mesh.f90` 3处。,"unstructured/scorec_mesh.f90:26: character(len=256) mesh_model
unstructured/scorec_mesh.f90:137: write(name_buff,""(A,A)"") mesh_model(1:len_trim(mesh_model)),0
unstructured/scorec_mesh.f90:197: write(name_buff,""(A,A)"") mesh_model(1:len_trim(mesh_model)),0"
model_info,model_info,&inputnl,Mesh,character(len=256),dummyInfo,3,unstructured/scorec_mesh.f90(2); m3dc1_scorec/api/m3dc1_scorec.cc(1),"源码引用 3 处；主要在 `scorec_mesh.f90` 2处, `m3dc1_scorec.cc` 1处。","unstructured/scorec_mesh.f90:28: character(len=256) model_info
unstructured/scorec_mesh.f90:200: write(name_buff,""(A,A)"") model_info(1:len_trim(model_info)),0
m3dc1_scorec/api/m3dc1_scorec.cc:929: std::cout << ""Make sure to provide model_info file since model is .dmg\n"";"
ipartitioned,ipartitioned,&inputnl,Mesh,integer,0,0,,未发现除注册/声明外的源码引用；可能是废弃参数、条件编译路径参数，或仅由外部工具/库间接使用。,
imatassemble,imatassemble,&inputnl,Mesh,integer,0,1,unstructured/newpar.f90(1),源码引用 1 处；主要在 `newpar.f90` 1处。,unstructured/newpar.f90:175: call m3dc1_matrix_setassembleoption(imatassemble)
is1_agg_blks,is1_agg_blk_cnt,&inputnl,Mesh,integer,1,2,unstructured/time_step_split.f90(1); unstructured/time_step_unsplit.f90(1),"源码引用 2 处；主要在 `time_step_split.f90` 1处, `time_step_unsplit.f90` 1处。","unstructured/time_step_split.f90:192: call create_mat(s1_mat, vecsize_vel, vecsize_vel, icomplex, 1, is1_agg_blk_cnt, is1_agg_scp)
unstructured/time_step_unsplit.f90:59: call create_mat(s1_mat, vecsize_phi, vecsize_phi, icomplex, 1, is1_agg_blk_cnt, is1_agg_scp)"
is1_agg_scp,is1_agg_scp,&inputnl,Mesh,integer,0,2,unstructured/time_step_split.f90(1); unstructured/time_step_unsplit.f90(1),"源码引用 2 处；主要在 `time_step_split.f90` 1处, `time_step_unsplit.f90` 1处。","unstructured/time_step_split.f90:192: call create_mat(s1_mat, vecsize_vel, vecsize_vel, icomplex, 1, is1_agg_blk_cnt, is1_agg_scp)
unstructured/time_step_unsplit.f90:59: call create_mat(s1_mat, vecsize_phi, vecsize_phi, icomplex, 1, is1_agg_blk_cnt, is1_agg_scp)"
imulti_region,imulti_region,&inputnl,Mesh,integer,0,50,unstructured/metricterms_new_gpu.f90(39); unstructured/scorec_mesh.f90(5); unstructured/adapt.f90(1); unstructured/diagnostics.f90(1); unstructured/gradshafranov.f90(1); unstructured/init_eqdsk.f90(1); unstructured/input.f90(1); unstructured/output.f90(1),"源码引用 50 处；主要在 `metricterms_new_gpu.f90` 39处, `scorec_mesh.f90` 5处, `adapt.f90` 1处, `diagnostics.f90` 1处。","unstructured/adapt.f90:153: if(imulti_region.eq.1) then
unstructured/diagnostics.f90:841: if(imulti_region.eq.1 .and. izone.eq.ZONE_CONDUCTOR) then
unstructured/gradshafranov.f90:1137: if(imulti_region.eq.1) then
unstructured/init_eqdsk.f90:80: if(iread_eqdsk.eq.3 .or. idevice.eq.-1 .or. imulti_region.eq.1) then
unstructured/input.f90:1584: if(imulti_region.eq.1) then
unstructured/metricterms_new_gpu.f90:8646: if(inocurrent_pol.eq.1 .and. imulti_region.eq.0) then
unstructured/metricterms_new_gpu.f90:8675: if(inocurrent_pol.eq.1 .and. imulti_region.eq.0) then
unstructured/metricterms_new_gpu.f90:8704: if(inocurrent_pol.eq.1 .and. imulti_region.eq.0) then
unstructured/metricterms_new_gpu.f90:8738: if(inocurrent_tor.eq.1 .and. imulti_region.eq.0) then
unstructured/metricterms_new_gpu.f90:8768: if(inocurrent_tor.eq.1 .and. imulti_region.eq.0) then"
toroidal_pack_factor,toroidal_pack_factor,&inputnl,Mesh,real,1.,2,unstructured/scorec_mesh.f90(2),源码引用 2 处；主要在 `scorec_mesh.f90` 2处。,"unstructured/scorec_mesh.f90:163: if(toroidal_pack_factor.gt.1. .and. i.gt.0) then
unstructured/scorec_mesh.f90:164: beta = 2.*sqrt(alog(toroidal_pack_factor))"
toroidal_pack_angle,toroidal_pack_angle,&inputnl,Mesh,real,0.,1,unstructured/scorec_mesh.f90(1),源码引用 1 处；主要在 `scorec_mesh.f90` 1处。,unstructured/scorec_mesh.f90:165: angle = toroidal_pack_angle + &
boundary_type,boundary_type,&inputnl,Mesh,integer array,0,20,unstructured/scorec_mesh.f90(17); unstructured/output.f90(3),"源码引用 20 处；主要在 `scorec_mesh.f90` 17处, `output.f90` 3处。","unstructured/output.f90:853: if(is_edge(1).ne.0) bound = bound + 1. + boundary_type(is_edge(1))*2**3
unstructured/output.f90:854: if(is_edge(2).ne.0) bound = bound + 2. + boundary_type(is_edge(2))*2**7
unstructured/output.f90:855: if(is_edge(3).ne.0) bound = bound + 4. + boundary_type(is_edge(3))*2**11
unstructured/scorec_mesh.f90:93: boundary_type(1) = BOUND_ANY
unstructured/scorec_mesh.f90:214: boundary_type(:) = BOUND_UNKNOWN
unstructured/scorec_mesh.f90:231: boundary_type(edges(j)) = BOUND_FIRSTWALL
unstructured/scorec_mesh.f90:249: boundary_type(edges(j)) = BOUND_DOMAIN
unstructured/scorec_mesh.f90:256: if(boundary_type(1).eq.BOUND_UNKNOWN) then
unstructured/scorec_mesh.f90:258: print *, 'Error: boundary_type(1) is not set'
unstructured/scorec_mesh.f90:261: if(.not.any(boundary_type(:).eq.BOUND_DOMAIN) .and. &"
zone_type,zone_type,&inputnl,Mesh,integer array,0,15,unstructured/scorec_mesh.f90(9); unstructured/diagnostics.f90(4); unstructured/transport.f90(2),"源码引用 15 处；主要在 `scorec_mesh.f90` 9处, `diagnostics.f90` 4处, `transport.f90` 2处。","unstructured/diagnostics.f90:824: izone = zone_type(izone_ind)
unstructured/diagnostics.f90:1227: izone = zone_type(izone_ind)
unstructured/diagnostics.f90:2628: izone = zone_type(izone_ind)
unstructured/diagnostics.f90:2996: izone = zone_type(izone_ind)
unstructured/scorec_mesh.f90:95: zone_type(1) = ZONE_PLASMA
unstructured/scorec_mesh.f90:267: if(zone_type(1).eq.ZONE_UNKNOWN) then
unstructured/scorec_mesh.f90:269: print *, 'Error: zone_type(1) is not set'
unstructured/scorec_mesh.f90:276: print *, 'ERROR: Default boundary_type and zone_type are no longer assigned'
unstructured/scorec_mesh.f90:284: print *, 'zone_type(i) = '
unstructured/scorec_mesh.f90:298: print *, ' zone_type(1) = 1 ! Plasma'"
iread_eqdsk,iread_eqdsk,&inputnl,Input,integer,0,10,unstructured/init_eqdsk.f90(6); unstructured/gradshafranov.f90(2); unstructured/init_conds.f90(1); unstructured/input.f90(1),"源码引用 10 处；主要在 `init_eqdsk.f90` 6处, `gradshafranov.f90` 2处, `init_conds.f90` 1处, `input.f90` 1处。","unstructured/gradshafranov.f90:1166: if(iread_eqdsk .eq. 1) psilim = psibound
unstructured/gradshafranov.f90:1274: if(iread_eqdsk.ne.1 .or. itnum.gt.1) then
unstructured/init_conds.f90:535: if(iread_eqdsk.ge.1) then
unstructured/init_eqdsk.f90:33: if(myrank.eq.0 .and. iprint.gt.0) print *, ""before load_eqdsk"", iread_eqdsk
unstructured/init_eqdsk.f90:77: if(iread_eqdsk.eq.3 .and. ifixedb.eq.0) then
unstructured/init_eqdsk.f90:80: if(iread_eqdsk.eq.3 .or. idevice.eq.-1 .or. imulti_region.eq.1) then
unstructured/init_eqdsk.f90:86: if(iread_eqdsk.eq.3) then
unstructured/init_eqdsk.f90:179: if(iread_eqdsk.eq.2) then
unstructured/init_eqdsk.f90:236: if(iread_eqdsk.eq.1 .or. iread_eqdsk.eq.2) then
unstructured/input.f90:1577: if(iread_eqdsk.ne.0 .and. igs_extend_p.eq.0 .and. irot.le.0) then"
iread_dskbal,iread_dskbal,&inputnl,Input,integer,0,2,unstructured/init_conds.f90(1); unstructured/init_dskbal.f90(1),"源码引用 2 处；主要在 `init_conds.f90` 1处, `init_dskbal.f90` 1处。","unstructured/init_conds.f90:537: else if(iread_dskbal.ge.1) then
unstructured/init_dskbal.f90:60: if(iread_dskbal.eq.2) then"
iread_jsolver,iread_jsolver,&inputnl,Input,integer,0,2,unstructured/init_conds.f90(1); unstructured/init_jsolver.f90(1),"源码引用 2 处；主要在 `init_conds.f90` 1处, `init_jsolver.f90` 1处。","unstructured/init_conds.f90:539: else if(iread_jsolver.ge.1) then
unstructured/init_jsolver.f90:77: if(iread_jsolver.eq.2) then"
